morts forts {}
morts marts {}
morts moats {}
morts molts {}
morts moots {}
morts mores {}
morts morns {}
morts ports {}
morts sorts {}
morts torts {}
morts worts {}
morts mosts {}
vocab vocal {}
scats scabs {}
scats scads {}
scats scams {}
scats scans {}
scats scars {}
scats seats {}
scats slats {}
scats spats {}
scats stats {}
scats swats {}
clays clads {}
clays clams {}
clays clans {}
clays claps {}
clays class {}
clays claws {}
clays flays {}
clays plays {}
clays slays {}
clays cloys {}
pitas picas {}
pitas vitas {}
pitas piths {}
hydro hydra {}
rates bates {}
rates dates {}
rates fates {}
rates gates {}
rates hates {}
rates mates {}
rates nates {}
rates pates {}
rates races {}
rates rages {}
rates rakes {}
rates rapes {}
rates rated {}
rates rater {}
rates sates {}
rates rites {}
rates raves {}
rates razes {}
rates raths {}
moxie doxie {}
moxie movie {}
beads deads {}
beads heads {}
beads leads {}
beads meads {}
beads reads {}
beads brads {}
beads bends {}
beads beaks {}
beads beams {}
beads beans {}
beads bears {}
beads beats {}
beads beaus {}
beads beady {}
klugy kluge {}
moans loans {}
moans means {}
moans roans {}
moans moons {}
moans morns {}
moans moats {}
flyer flier {}
flyer plyer {}
flyer slyer {}
flyer foyer {}
flyer fryer {}
growl prowl {}
growl grown {}
growl grows {}
bueno buena {}
lived dived {}
lived hived {}
lived jived {}
lived laved {}
lived liked {}
lived limed {}
lived lined {}
lived rived {}
lived loved {}
lived livid {}
lived liven {}
lived liver {}
lived lives {}
sinew sines {}
gizmo gismo {}
aitch bitch {}
aitch ditch {}
aitch hitch {}
aitch pitch {}
aitch witch {}
cough bough {}
cough couch {}
cough dough {}
cough rough {}
cough tough {}
cough couth {}
cleft cleat {}
cleft clefs {}
drily daily {}
drily doily {}
drily drill {}
drily dryly {}
goofy goody {}
goofy gooey {}
goofy goofs {}
goofy gooky {}
goofy goony {}
goofy goopy {}
goofy goosy {}
ferny fenny {}
ferny ferns {}
ferny ferry {}
bosun boson {}
mires fires {}
mires hires {}
mires mares {}
mires mikes {}
mires miles {}
mires mimes {}
mires mines {}
mires mired {}
mires sires {}
mires tires {}
mires vires {}
mires wires {}
mires mores {}
mires mites {}
mires mixes {}
pairs fairs {}
pairs hairs {}
pairs lairs {}
pairs pails {}
pairs pains {}
dikes bikes {}
dikes dices {}
dikes diked {}
dikes hikes {}
dikes kikes {}
dikes likes {}
dikes mikes {}
dikes pikes {}
dikes tikes {}
dikes yikes {}
dikes dukes {}
dikes dykes {}
dikes dimes {}
dikes dines {}
dikes dives {}
opens omens {}
opens ovens {}
aquae aquas {}
boats beats {}
boats blats {}
boats boars {}
boats coats {}
boats goats {}
boats moats {}
boats brats {}
boats bolts {}
boats boots {}
boats bouts {}
chief thief {}
chief chiff {}
loopy goopy {}
loopy looky {}
loopy loony {}
loopy loops {}
loopy loppy {}
thats chats {}
thats teats {}
thats whats {}
thats twats {}
thats thaws {}
xored bored {}
xored cored {}
xored gored {}
xored pored {}
xenon tenon {}
shush shish {}
shush slush {}
tacky tacks {}
tacky wacky {}
tacky talky {}
worms corms {}
worms dorms {}
worms forms {}
worms norms {}
worms warms {}
worms words {}
worms works {}
worms worts {}
worms wormy {}
feeds deeds {}
feeds heeds {}
feeds needs {}
feeds reeds {}
feeds seeds {}
feeds weeds {}
feeds fends {}
feeds feuds {}
feeds feels {}
stirs stars {}
stirs sties {}
frogs flogs {}
frogs frigs {}
frogs grogs {}
cared bared {}
cared caged {}
cared caked {}
cared caned {}
cared caped {}
cared dared {}
cared eared {}
cared fared {}
cared oared {}
cared pared {}
cared tared {}
cared cored {}
cared cured {}
cared cased {}
cared caved {}
cared cawed {}
cared carer {}
cared cares {}
cared caret {}
cushy bushy {}
cushy gushy {}
cushy mushy {}
cushy pushy {}
cushy cuspy {}
paste baste {}
paste caste {}
paste haste {}
paste passe {}
paste pasta {}
paste taste {}
paste waste {}
paste poste {}
paste pasts {}
paste pasty {}
cocoa cocos {}
kitty bitty {}
kitty ditty {}
kitty kilty {}
kitty nitty {}
kitty titty {}
kitty witty {}
mommy mammy {}
mommy momma {}
mommy tommy {}
mommy mummy {}
beefs reefs {}
beefs beeps {}
beefs beers {}
beefs beets {}
beefs beefy {}
gnats goats {}
gnats gnaws {}
prims brims {}
prims prams {}
prims pries {}
prims prigs {}
prims prima {}
prims prime {}
prims primo {}
prims primp {}
prims trims {}
prims proms {}
dulls bulls {}
dulls culls {}
dulls dells {}
dulls dills {}
dulls dolls {}
dulls duals {}
dulls duels {}
dulls fulls {}
dulls gulls {}
dulls hulls {}
dulls lulls {}
dulls mulls {}
dulls nulls {}
dulls pulls {}
dulls dully {}
spays shays {}
spays slays {}
spays spans {}
spays spars {}
spays spats {}
spays stays {}
spays sways {}
facer faced {}
facer lacer {}
facer macer {}
facer pacer {}
facer racer {}
facer fader {}
facer faker {}
facer faxer {}
facer faces {}
facer facet {}
mites bites {}
mites cites {}
mites kites {}
mites lites {}
mites mates {}
mites metes {}
mites mikes {}
mites miles {}
mites mimes {}
mites mines {}
mites miter {}
mites rites {}
mites sites {}
mites motes {}
mites mutes {}
mites mixes {}
mites mitts {}
bronx bronc {}
botch batch {}
botch bitch {}
botch notch {}
botch butch {}
geeks leeks {}
geeks peeks {}
geeks reeks {}
geeks seeks {}
geeks weeks {}
murky mucky {}
murky murks {}
murky musky {}
mousy lousy {}
mousy mossy {}
mousy mouse {}
deuce deice {}
seeth teeth {}
brads grads {}
brads mrads {}
brads braes {}
brads brags {}
brads brans {}
brads brass {}
brads brats {}
brads brays {}
vexed hexed {}
vexed sexed {}
vexed vexes {}
anode abode {}
anode inode {}
anode anole {}
laden laded {}
laden lades {}
begun began {}
begun begin {}
begin began {}
mania mafia {}
mania maria {}
mania manna {}
mania manta {}
mania manic {}
brook brood {}
brook crook {}
brook grook {}
brook broom {}
spore score {}
spore shore {}
spore snore {}
spore spare {}
spore spire {}
spore spoke {}
spore store {}
spore swore {}
spore sport {}
river diver {}
river fiver {}
river giver {}
river hiver {}
river liver {}
river raver {}
river ricer {}
river rider {}
river rifer {}
river rimer {}
river riper {}
river riser {}
river rived {}
river riven {}
river rover {}
river rives {}
river rivet {}
spiff skiff {}
spiff sniff {}
spiff stiff {}
hussy fussy {}
hussy husky {}
hussy mussy {}
hussy pussy {}
litho lithe {}
wider aider {}
wider bider {}
wider cider {}
wider eider {}
wider hider {}
wider rider {}
wider wader {}
wider widen {}
wider wiper {}
wider wirer {}
wider wiser {}
kicky dicky {}
kicky kicks {}
kicky picky {}
kicky kinky {}
freer freed {}
freer frier {}
freer fryer {}
freer frees {}
topes copes {}
topes dopes {}
topes hopes {}
topes lopes {}
topes mopes {}
topes popes {}
topes ropes {}
topes tapes {}
topes tokes {}
topes tomes {}
topes tones {}
topes toped {}
topes toper {}
topes types {}
topes totes {}
topes toves {}
topes topos {}
sware aware {}
sware scare {}
sware share {}
sware snare {}
sware spare {}
sware stare {}
sware sward {}
sware swore {}
